scenario_id,scenario_name,instance_id,num_ingredients,baseline_cost,baseline_gap,baseline_gap_percent,heuristic_cost,gurobi_cost,absolute_gap,relative_gap_percent,baseline_seconds,heuristic_seconds,gurobi_seconds
S1,Standard Operations,S1_Inst_001,11,24549.410000000003,2777.613000000005,12.757849065008301,21771.797000000006,21771.797,0.0,0.0,0.00014900002861395478,0.0029706000350415707,0.05192090000491589
S1,Standard Operations,S1_Inst_002,17,38012.21000000001,4653.943000000014,13.95139321835878,33358.26700000001,33358.26699999999,0.0,0.0,0.0003497999859973788,0.00342399999499321,0.04247009998653084
S1,Standard Operations,S1_Inst_003,20,41647.729999999996,5747.8399999999965,16.01074543682445,35899.89,35899.89,0.0,0.0,0.00019950000569224358,0.005581100005656481,0.04974670003866777
S1,Standard Operations,S1_Inst_004,10,23606.019999999997,2489.263999999999,11.788098512858697,21116.755999999998,21116.755999999998,0.0,0.0,0.0003579000476747751,0.0016839000163599849,0.057701700017787516
S1,Standard Operations,S1_Inst_005,16,29982.71,2805.5599999999977,10.323231096711751,27177.150000000005,27177.15,0.0,0.0,0.0001493000308983028,0.003117599990218878,0.03452300000935793
S1,Standard Operations,S1_Inst_006,11,23470.529999999995,2745.2419999999947,13.245856945389587,20725.287999999997,20725.288,0.0,0.0,0.00016240001423284411,0.001956899999640882,0.043702299997676164
S1,Standard Operations,S1_Inst_007,13,23581.620000000003,2758.1300000000047,13.24528213090123,20823.49,20823.489999999998,0.0,0.0,0.00046419998398050666,0.001941800001077354,0.037556399998720735
S1,Standard Operations,S1_Inst_008,15,39205.71,4310.469000000005,12.35259845318164,34895.24099999998,34895.240999999995,0.0,0.0,0.00013329996727406979,0.0021179000032134354,0.024992300022859126
S1,Standard Operations,S1_Inst_009,11,29910.86999999999,3790.5349999999926,14.511816176936449,26120.33499999999,26120.335,0.0,0.0,0.00012169999536126852,0.002071399998385459,0.025467799976468086
S1,Standard Operations,S1_Inst_010,20,45466.83000000001,5722.020000000011,14.396898613932263,39744.81000000001,39744.81,0.0,0.0,0.000340700033120811,0.003760000050533563,0.1092449999996461
S1,Standard Operations,S1_Inst_011,15,24664.400000000005,2522.1400000000067,11.390616856635262,22142.259999999995,22142.26,0.0,0.0,0.00012630003038793802,0.0031732000061310828,0.02104750002035871
S1,Standard Operations,S1_Inst_012,19,38305.21,4450.197,13.144868678679874,33855.01300000001,33855.013,0.0,0.0,0.00015549996169283986,0.0032704000477679074,0.041058699949644506
S1,Standard Operations,S1_Inst_013,19,46888.43000000001,4893.580000000016,11.652809808821837,41994.84999999999,41994.84999999999,0.0,0.0,0.00021719996584579349,0.004044000001158565,0.04872149997390807
S1,Standard Operations,S1_Inst_014,16,37980.90000000001,4787.552000000003,14.423227208053863,33193.348000000005,33193.348000000005,0.0,0.0,0.00015550001990050077,0.002901199972257018,0.04189960000803694
S1,Standard Operations,S1_Inst_015,12,23354.739999999998,2503.929,12.008784694274004,20850.810999999998,20850.810999999998,0.0,0.0,0.00010629999451339245,0.001798400015104562,0.015919099969323725
S1,Standard Operations,S1_Inst_016,15,39060.42999999999,4891.341999999997,14.31510843953458,34169.08800000001,34169.087999999996,0.0,0.0,0.00026970001636072993,0.0034465999924577773,0.029006200027652085
S1,Standard Operations,S1_Inst_017,14,31157.010000000002,3993.017,14.69966878580774,27163.993000000006,27163.993000000002,0.0,0.0,0.00012240000069141388,0.004083500010892749,0.018238999997265637
