scenario_id,scenario_name,instances,avg_heuristic_cost,avg_gurobi_cost,avg_absolute_gap,avg_gap_percent,max_gap_percent,max_gap_instance,avg_heuristic_seconds,avg_gurobi_seconds,speed_ratio_gurobi_over_heuristic
S1,Standard Operations,100,30869.627910000003,30869.62790871962,1.280380311072804e-06,3.6366475289903725e-09,3.6366475289903727e-07,S1_Inst_081,0.002989168001804501,0.02978339699911885,9.963774863486833
S2,Near-Threshold Demand,100,24121.50261,24121.50261,0.0,0.0,0.0,S2_Inst_001,0.003811752998153679,0.021631266999756916,5.674886859204827
S3,High Holding Cost,100,23797.925499999998,23797.925499999998,0.0,0.0,0.0,S3_Inst_001,0.003751561003155075,0.0282879699987825,7.5403198761774695
S4,Short Shelf / High Waste,100,19759.21064,19759.21064,0.0,0.0,0.0,S4_Inst_001,0.00158681099943351,0.015458593998337164,9.741925159238162
S5,Stable Bulk Commodities,100,27233.27275,27233.27275,0.0,0.0,0.0,S5_Inst_001,0.0027006289968267085,0.02083708300080616,7.71564069899647
S6,Fresh Perishables,100,17812.8365,17812.4021,0.43439999999993234,0.00259443844384264,0.12156724016954407,S6_Inst_084,0.0007040880026761442,0.005649932999513112,8.024469921428107
S7,Wholesale Monopoly,100,25604.97262,25604.97262,0.0,0.0,0.0,S7_Inst_001,0.0029805980023229497,0.026685475001577287,8.953060755183952
S8,Inflation / Low Margin,100,46290.178210000005,46290.17821,0.0,0.0,0.0,S8_Inst_001,0.00537416500155814,0.04193521299923304,7.803112295040197
S9,Bullwhip Demand,100,33490.2196,33490.20083,0.018769999999713037,4.299161721139292e-05,0.0011610064145810392,S9_Inst_074,0.0066036490019178015,0.06698489499627612,10.1436183202382
S10,Unattainable Threshold,100,33314.1081,33314.1081,0.0,0.0,0.0,S10_Inst_001,0.0012980150029761716,0.016164073997642844,12.45291769400263
